"보고 시작","보고 종료","캠페인 이름",연령,"캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2026-04-25,2026-04-26,이미지vip안마의자,25-34,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,414,1.297101,,"광고 세트 예산 사용 중",0,7617,"진행 중",537,14184.357542,16,,476.0625,2.979516,20,3.724395,380.85,14,544.071429
2026-04-25,2026-04-26,동영상vip안마의자,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,48,1.041667,,"광고 세트 예산 사용 중",0,866,"진행 중",50,17320,1,,866,2,1,2,866,1,866
2026-04-25,2026-04-26,이미지vip안마의자,35-44,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,488,1.247951,,"광고 세트 예산 사용 중",0,11156,"진행 중",609,18318.555008,14,,796.857143,2.298851,16,2.627258,697.25,12,929.666667
2026-04-25,2026-04-26,동영상vip안마의자,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,69,1.028986,,"광고 세트 예산 사용 중",0,1217,"진행 중",71,17140.84507,2,,608.5,2.816901,2,2.816901,608.5,2,608.5
2026-04-25,2026-04-26,이미지vip안마의자,45-54,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",3,actions:offsite_conversion.fb_pixel_lead,567,1.231041,5270,"광고 세트 예산 사용 중",0,15810,"진행 중",698,22650.429799,27,,585.555556,3.868195,33,4.727794,479.090909,24,658.75
2026-04-25,2026-04-26,동영상vip안마의자,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,52,1.038462,,"광고 세트 예산 사용 중",0,1250,"진행 중",54,23148.148148,,,,,0,0,0,,
2026-04-25,2026-04-26,이미지vip안마의자,55-64,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,1023,1.420332,12801,"광고 세트 예산 사용 중",0,25602,"진행 중",1453,17620.096352,77,,332.493506,5.299381,88,6.056435,290.931818,70,365.742857
2026-04-25,2026-04-26,동영상vip안마의자,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,50,1.06,,"광고 세트 예산 사용 중",0,1047,"진행 중",53,19754.716981,3,,349,5.660377,3,5.660377,349,2,523.5
2026-04-25,2026-04-26,이미지vip안마의자,65+,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",5,actions:offsite_conversion.fb_pixel_lead,1136,1.345951,7478,"광고 세트 예산 사용 중",0,37390,"진행 중",1529,24453.891432,111,,336.846847,7.259647,124,8.109876,301.532258,100,373.9
2026-04-25,2026-04-26,동영상vip안마의자,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,56,1.071429,,"광고 세트 예산 사용 중",0,4100,"진행 중",60,68333.333333,,,,,0,0,0,,
