"보고 시작","보고 종료","캠페인 이름",연령,"캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2025-01-07,2026-04-26,"크루즈 프리랜서 어떻게 해?",45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,79,1.037975,,20000,"일일 예산",4172,"진행 중",82,50878.04878,1,,4172,1.219512,2,2.439024,2086,1,4172
2025-01-07,2026-04-26,세부타겟크루즈여행하면서,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",14,actions:offsite_conversion.fb_pixel_lead,2054,1.266796,6648.35714286,"광고 세트 예산 사용 중",0,93077,"진행 중",2602,35771.329746,159,,585.389937,6.110684,161,6.187548,578.118012,131,710.51145
2025-01-07,2026-04-26,크루즈아카데미프리랜서특강,45-54,archived,"클릭 후 7일 또는 조회 후 1일",,,1,1,,20000,"일일 예산",239,2025-07-15,1,239000,,,,,0,0,0,,
2025-01-07,2026-04-26,대한민국크루즈야영상,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,826,1.067797,,"광고 세트 예산 사용 중",0,22834,"진행 중",882,25888.888889,55,,415.163636,6.235828,57,6.462585,400.596491,44,518.954545
2025-01-07,2026-04-26,"사본 경력없이2차직장영상",45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,40,1.2,,"광고 세트 예산 사용 중",0,2535,"진행 중",48,52812.5,3,,845,6.25,4,8.333333,633.75,1,2535
2025-01-07,2026-04-26,세부타겟크루즈야영상,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",24,actions:offsite_conversion.fb_pixel_lead,2808,1.490741,6151.875,"광고 세트 예산 사용 중",0,147645,"진행 중",4186,35271.141902,291,,507.371134,6.951744,314,7.501194,470.207006,277,533.01444
2025-01-07,2026-04-26,기업이좋아하는프리랜서,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,53,1.037736,,10000,"일일 예산",2535,"진행 중",55,46090.909091,,,,,0,0,0,,
2025-01-07,2026-04-26,경력없이2차직장영상,45-54,not_delivering,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",265,actions:offsite_conversion.fb_pixel_lead,33120,2.361775,7847.29433962,"광고 세트 예산 사용 중",0,2079533,"진행 중",78222,26585.014446,6231,,333.739849,7.96579,6596,8.43241,315.271831,5584,372.409205
2025-01-07,2026-04-26,크루즈프리랜서무료강의,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,63,1.031746,,10000,"일일 예산",5056,"진행 중",65,77784.615385,,,,,2,3.076923,2528,,
2025-01-07,2026-04-26,세부타겟경력없이2차직장,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",16,actions:offsite_conversion.fb_pixel_lead,3224,1.399814,5890.6875,"광고 세트 예산 사용 중",0,94251,"진행 중",4513,20884.334146,389,,242.290488,8.619544,407,9.018391,231.574939,360,261.808333
2025-01-07,2026-04-26,무경력도일할수있다,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,222,1.202703,,30000,"일일 예산",14957,"진행 중",267,56018.726592,11,,1359.727273,4.11985,14,5.243446,1068.357143,,
2025-01-07,2026-04-26,대한민국재택가능새로운직업,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,284,1.119718,3968.5,"광고 세트 예산 사용 중",0,7937,"진행 중",318,24959.119497,13,,610.538462,4.08805,15,4.716981,529.133333,10,793.7
2025-01-07,2026-04-26,취업no1인프리랜서크루즈여행사,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,48,1.0625,,10000,"일일 예산",3130,"진행 중",51,61372.54902,2,,1565,3.921569,2,3.921569,1565,1,3130
2025-01-07,2026-04-26,세부타겟재택가능크루즈,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,256,1.054688,,"광고 세트 예산 사용 중",0,7616,"진행 중",270,28207.407407,15,,507.733333,5.555556,15,5.555556,507.733333,14,544
2025-01-07,2026-04-26,똑똑한사람은이미,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,335,1.513433,,"광고 세트 예산 사용 중",0,3261,"진행 중",507,6431.952663,3,,1087,0.591716,3,0.591716,1087,1,3261
2025-01-07,2026-04-26,"노하우무료증정 2025-0705",45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,288,1.118056,,"광고 세트 예산 사용 중",0,7692,"진행 중",322,23888.198758,12,,641,3.726708,13,4.037267,591.692308,11,699.272727
2025-01-07,2026-04-26,블루오션크루즈,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,232,1.094828,,20000,"일일 예산",12296,"진행 중",254,48409.448819,12,,1024.666667,4.724409,14,5.511811,878.285714,,
2025-01-07,2026-04-26,"경력없이 가능한 프리랜서",45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,109,1.009174,,"광고 세트 예산 사용 중",0,3246,"진행 중",110,29509.090909,10,,324.6,9.090909,11,10,295.090909,9,360.666667
2025-01-07,2026-04-26,크루즈프리랜서100%실제후기,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,45,1.311111,,20000,"일일 예산",3567,"진행 중",59,60457.627119,5,,713.4,8.474576,5,8.474576,713.4,2,1783.5
2025-01-07,2026-04-26,"2차직업 대한민국 20250709",45-54,not_delivering,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",39,actions:offsite_conversion.fb_pixel_lead,7200,2.072222,15315.12820513,"광고 세트 예산 사용 중",0,597290,"진행 중",14920,40032.841823,735,,812.639456,4.926273,779,5.22118,766.73941,546,1093.937729
2025-01-07,2026-04-26,크루즈프리랜서99%실패합니다,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,44,1.113636,,"광고 세트 예산 사용 중",0,5066,"진행 중",49,103387.755102,2,,2533,4.081633,2,4.081633,2533,2,2533
2025-01-07,2026-04-26,"여행인가 일인가? 둘다다",45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,57,1,,20000,"일일 예산",1162,"진행 중",57,20385.964912,,,,,1,1.754386,1162,,
2025-01-07,2026-04-26,90분무료특강,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,8,1,,"광고 세트 예산 사용 중",0,1735,"진행 중",8,216875,1,,1735,12.5,1,12.5,1735,1,1735
2025-01-07,2026-04-26,"물살 경력도 크루즈 여행 일 하는 법",45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,545,1.211009,,10000,"일일 예산",17573,"진행 중",660,26625.757576,30,,585.766667,4.545455,33,5,532.515152,28,627.607143
2025-01-07,2026-04-26,"지루한 사무실 이제는 프루즈로",45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,21,1,,20000,"일일 예산",416,"진행 중",21,19809.52381,,,,,0,0,0,,
2025-01-07,2026-04-26,"하라는 대로 했더니",45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,21,1,,20000,"일일 예산",495,"진행 중",21,23571.428571,,,,,0,0,0,,
2025-01-07,2026-04-26,"취업 No 크루즈 여행 하며 프리하게 버는법",45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,414,1.142512,,10000,"일일 예산",12898,"진행 중",473,27268.498943,19,,678.842105,4.016913,24,5.073996,537.416667,17,758.705882
2025-01-07,2026-04-26,"아무것도 몰라도 크루즈 프리랜서 되는법",45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,15,1.2,,10000,"일일 예산",511,"진행 중",18,28388.888889,1,,511,5.555556,2,11.111111,255.5,,
2025-01-07,2026-04-26,아무것도크루즈마케터,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,24,1.083333,,10000,"일일 예산",840,"진행 중",26,32307.692308,1,,840,3.846154,1,3.846154,840,1,840
2025-01-07,2026-04-26,100%실무만담은현장노하우,45-54,inactive,"클릭 후 7일 또는 조회 후 1일",,,48,1.145833,,20000,"일일 예산",1526,"진행 중",55,27745.454545,2,,763,3.636364,3,5.454545,508.666667,2,763
2025-01-07,2026-04-26,월매출1억여행사,45-54,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,94,1.138298,,10000,"일일 예산",3272,"진행 중",107,30579.439252,8,,409,7.476636,7,6.542056,467.428571,7,467.428571
