"보고 시작","보고 종료","캠페인 이름",연령,"캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2024-07-17,2026-04-26,크루즈주스100달러,55-64,archived,"클릭 후 7일 또는 조회 후 1일",1,actions:lead,19,1,965,"광고 세트 예산 사용 중",0,965,2024-07-18,19,50789.473684,2,,482.5,10.526316,2,10.526316,482.5,2,482.5
2024-07-17,2026-04-26,"3차 랜딩 65만원 카피",55-64,inactive,"클릭 후 7일 또는 조회 후 1일",493,actions:offsite_conversion.fb_pixel_lead,28928,3.136062,3878.02028398,"광고 세트 예산 사용 중",0,1911864,"진행 중",90720,21074.338624,11195,,170.778383,12.340168,12522,13.80291,152.680402,10275,186.069489
2024-07-17,2026-04-26,3차랜딩페이지2번광고전환,55-64,archived,~,,,27,1,,"광고 세트 예산 사용 중",0,1510,2024-07-21,27,55925.925926,2,,755,7.407407,2,7.407407,755,2,755
2024-07-17,2026-04-26,3차홍콩랜딩페이지테스트,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,332,1.177711,7908,"광고 세트 예산 사용 중",0,7908,"진행 중",391,20225.063939,25,,316.32,6.393862,26,6.649616,304.153846,23,343.826087
2024-07-17,2026-04-26,크루즈야인솔자,55-64,inactive,"여러 기여 설정",,,676,1.236686,,"광고 세트 예산 사용 중",0,20725,"진행 중",836,24790.669856,104,,199.278846,12.440191,120,14.354067,172.708333,99,209.343434
2024-07-17,2026-04-26,3800크루즈인솔자,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",,,436,1.229358,,"광고 세트 예산 사용 중",0,23768,"진행 중",536,44343.283582,37,,642.378378,6.902985,43,8.022388,552.744186,,
2024-07-17,2026-04-26,인솔자테스트,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",,,287,1.181185,,"광고 세트 예산 사용 중",0,14671,"진행 중",339,43277.286136,31,,473.258065,9.144543,32,9.439528,458.46875,,
2024-07-17,2026-04-26,인솔자테스트2,55-64,inactive,"클릭 후 7일 또는 조회 후 1일",,,81,1.049383,,"광고 세트 예산 사용 중",0,3166,"진행 중",85,37247.058824,8,,395.75,9.411765,10,11.764706,316.6,,
2024-07-17,2026-04-26,"3차랜딩페이지 대한민국전체 복사",55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,460,1.991304,,"광고 세트 예산 사용 중",0,19073,"진행 중",916,20822.052402,48,,397.354167,5.240175,51,5.567686,373.980392,42,454.119048
2024-07-17,2026-04-26,페리크루즈,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,2004,1.812375,45680.5,"광고 세트 예산 사용 중",0,91361,"진행 중",3632,25154.460352,260,,351.388462,7.15859,261,7.186123,350.042146,226,404.252212
2024-07-17,2026-04-26,"두번째4차 65만원 카피 25-07-05",55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,80,1.0875,,"광고 세트 예산 사용 중",0,1159,"진행 중",87,13321.83908,8,,144.875,9.195402,12,13.793103,96.583333,8,144.875
2024-07-17,2026-04-26,피아노랜드광고,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,1146,1.574171,50942,"광고 세트 예산 사용 중",0,50942,"진행 중",1804,28238.359202,204,,249.715686,11.308204,243,13.470067,209.63786,185,275.362162
2024-07-17,2026-04-26,"4차랜딩 2.5 버전",55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,588,1.52381,,"광고 세트 예산 사용 중",0,31505,"진행 중",896,35161.830357,102,,308.872549,11.383929,109,12.165179,289.036697,87,362.126437
2024-07-17,2026-04-26,유럽럭셔리초특가,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",15,actions:offsite_conversion.fb_pixel_view_content,1186,1,659.73333333,"광고 세트 예산 사용 중",0,9896,"진행 중",1186,8344.013491,14,,706.857143,1.180438,17,1.43339,582.117647,14,706.857143
2024-07-17,2026-04-26,"알차게 즐기는법",55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",10,actions:offsite_conversion.fb_pixel_view_content,510,1.021569,358.2,"광고 세트 예산 사용 중",0,3582,"진행 중",521,6875.239923,10,,358.2,1.919386,12,2.303263,298.5,10,358.2
2024-07-17,2026-04-26,뷔폐코스요리무제한,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",10,actions:offsite_conversion.fb_pixel_view_content,650,1,607.8,"광고 세트 예산 사용 중",0,6078,"진행 중",650,9350.769231,11,,552.545455,1.692308,11,1.692308,552.545455,10,607.8
2024-07-17,2026-04-26,안전한갓성비크루즈,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",8,actions:offsite_conversion.fb_pixel_view_content,1094,1,860.625,"광고 세트 예산 사용 중",0,6885,"진행 중",1094,6293.418647,9,,765,0.822669,12,1.096892,573.75,8,860.625
